,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
country,Österreich,Belgien,Bulgarien,Schweiz,Zypern,Tschechien,Dänemark,Estland,Spanien,Finnland,Frankreich,Vereinigtes Königreich,Griechenland,Kroatien,Ungarn,Irland,Italien,Lettland,Luxemburg,Litauen,Niederlande,Polen,Portugal,Rumänien,Schweden,Slowenien,Slowakei
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,-0.0017889087656529517,0.1640625,0.08672897196261682,0.011857707509881422,0.8717948717948718,0.10553278688524591,0.14035087719298245,0.06060606060606061,0.38051400076716535,-0.2222222222222222,0.09372236958443855,-0.02566371681415929,-0.05001572821642026,2.0294599018003274,0.09556254367575122,0.3356643356643357,0.43021540277367953,-0.06694129763130793,0.3172043010752688,-0.029782359679266894,0.06918238993710692,0.12221930055219564,0.07279344858962693,0.21856315839422985,0.10683760683760683,0.3915929203539823,0.1467948717948718
2013-08-01,0.07040913415794481,0.08571428571428572,-0.07690941385435168,0.13082437275985664,1.2075471698113207,-0.0010893246187363835,-0.015873015873015872,0.08333333333333333,0.163515406162465,0.041474654377880185,0.11396803335649756,0.032974910394265235,-0.03686471009305655,1.5109745390693592,0.096035734226689,0.1836734693877551,0.3354000590493062,-0.09004237288135593,0.1111111111111111,-0.15995647442872687,0.03294573643410853,0.040714704159343876,0.15263644773358,0.19888034917923902,-0.055865921787709494,0.46543778801843316,0.1444991789819376
2013-09-01,0.06398104265402843,0.10782241014799154,-0.010687022900763359,0.10975609756097561,0.1796875,0.19618055555555555,0.1676300578034682,0.023391812865497075,0.23005932762030323,0.0465587044534413,0.0789685737308622,0.05968331303288672,0.08507417499243113,1.9168067226890757,0.10110995490808186,-0.037037037037037035,0.3858284272497897,-0.165625,0.21122994652406418,-0.06015037593984962,0.11688311688311688,0.12075966764540513,0.05491105955143078,0.19313304721030042,-0.00646551724137931,0.19965576592082615,0.19741100323624594
2013-10-01,0.03159340659340659,0.0776255707762557,-0.033438375350140055,0.05788712011577424,0.826530612244898,0.06596091205211727,0.15384615384615385,-0.0782122905027933,-0.08464818763326226,0.15181518151815182,0.02657522503214745,-0.004204625087596356,-0.08512820512820513,2.1779026217228465,0.019777735920135618,-0.07063197026022305,0.20205418806445902,-0.17956349206349206,0.10515021459227468,-0.15138121546961325,0.14285714285714285,0.07607581967213115,0.017415215398716773,0.17979645684131174,0.17901234567901234,0.1126984126984127,0.20637450199203186
2013-11-01,0.021739130434782608,-0.2476780185758514,0.015596745027124773,-0.012285012285012284,1.025,0.035386631716906945,0.05732484076433121,0.10588235294117647,0.02414486921529175,-0.036036036036036036,0.06544754571703561,0.0011668611435239206,0.03210382513661202,1.8823529411764706,0.15027958993476234,-0.168,0.3204225352112676,-0.1115819209039548,-0.14356435643564355,-0.1797432239657632,0.016506189821182942,0.07093978102189781,0.09047619047619047,0.13125890215843103,-0.2781954887218045,0.2360097323600973,0.033578174186778595
2013-12-01,0.23247232472324722,0.76,0.0763216679076694,0.11610486891385768,1.3888888888888888,-0.009398496240601503,0.24742268041237114,0.01694915254237288,0.048994974874371856,0.5081967213114754,0.135,0.09925093632958802,0.09552376557452699,1.4829192546583851,0.09625,0.10227272727272728,0.3903634136382197,0.07107843137254902,0.31092436974789917,0.0,0.1634446397188049,0.22606105733432613,-0.03951890034364261,0.2689898198903681,0.4017857142857143,0.12941176470588237,-0.06699346405228758
2014-01-01,0.020022246941045607,0.045180722891566265,0.393214796648273,0.01937984496124031,1.0256410256410255,0.1725067385444744,-0.2833333333333333,-0.10377358490566038,0.061065877128053295,-0.1875,0.009852216748768473,0.032520325203252036,-0.07169428474805546,2.564794816414687,0.12287831699737031,-0.040697674418604654,0.3153939393939394,-0.15338882282996433,0.12290502793296089,-0.18635170603674542,-0.04912998976458546,0.08601579107197085,-0.05430242272347535,0.6237135055660575,-0.018726591760299626,0.37815126050420167,0.09642147117296222
2014-02-01,0.08695652173913043,0.14453125,0.4376163873370577,0.135678391959799,1.1176470588235294,0.16964285714285715,-0.07368421052631578,0.0821917808219178,-0.033712428919577576,0.07575757575757576,0.09268292682926829,0.0280970625798212,0.0008240626287597857,2.924019607843137,0.07936085219707058,0.19166666666666668,0.4116851501217203,-0.04962406015037594,0.10071942446043165,-0.11382113821138211,0.008938547486033519,0.09408916346635499,-0.2206896551724138,0.6113040354448569,0.2826086956521739,0.2743764172335601,0.10292397660818714
2014-03-01,0.14404761904761904,0.16165413533834586,0.4862068965517241,0.13852813852813853,0.8285714285714286,0.18095238095238095,-0.11026615969581749,-0.3283582089552239,0.020149253731343283,0.15481171548117154,0.12408223201174744,0.11313868613138686,-0.026735833998403832,2.2764227642276422,0.11816293561043158,0.3114754098360656,0.3685092127303183,-0.040172166427546625,0.2865853658536585,-0.009174311926605505,0.20561941251596424,0.19891664158892566,-0.0819000819000819,0.6662853577371048,0.1902834008097166,0.20042194092827004,0.2343891402714932
2014-04-01,-0.033763654419066536,0.021352313167259787,0.10050341603739663,-0.028142589118198873,0.02127659574468085,-0.04343629343629344,-0.05504587155963303,-0.2336448598130841,-0.16870064608758076,0.02577319587628866,-0.07591240875912408,-0.12994350282485875,-0.14597441685477802,1.2892561983471074,-0.08635614179719703,0.1015625,0.19892258579409416,-0.1120584652862363,0.02040816326530612,-0.20051746442432083,-0.072992700729927,-0.136133015465493,-0.4106382978723404,0.2938099389712293,-0.06779661016949153,-0.08846761453396525,-0.03131672597864769
2014-05-01,0.047244094488188976,-0.029411764705882353,0.19796003330557868,0.060526315789473685,-0.31343283582089554,0.1702127659574468,-0.11363636363636363,-0.028985507246376812,0.05434782608695652,0.5164835164835165,0.09217577706323687,0.04138851802403204,-0.008958038661008957,2.0497100248550124,0.07010213556174559,0.034482758620689655,0.1724952741020794,-0.04664723032069971,0.2585034013605442,-0.1932367149758454,0.0,0.02855309592556946,-0.30584192439862545,0.5706863549357397,0.3586206896551724,0.06017699115044248,-0.021612635078969242
2014-06-01,0.18969849246231155,0.19130434782608696,0.3335330537247853,0.05357142857142857,-0.2982456140350877,0.14860335195530727,0.1830065359477124,-0.2079207920792079,0.12965139052095573,0.16129032258064516,0.08536585365853659,0.14864864864864866,-0.12688698490412076,1.6699604743083003,0.0575204041974349,-0.09644670050761421,0.21990541702493552,-0.1346153846153846,0.1484375,-0.02092675635276532,-0.04331210191082802,-0.014718269273396286,-0.16517857142857142,0.229527512666431,0.14537444933920704,0.19207920792079208,0.15309672929714682
2014-07-01,0.0008960573476702509,0.06040268456375839,0.17217062263501892,0.04296875,-0.0410958904109589,0.056533827618164965,0.11384615384615385,-0.20714285714285716,-0.1153098082800778,0.3025210084033613,0.01778496362166532,0.11444141689373297,-0.14701986754966886,0.14073473797947056,-0.09663530537394355,0.14136125654450263,0.18588817825459047,-0.10706401766004416,-0.12244897959183673,-0.17119244391971664,-0.0892156862745098,0.007123107924457566,-0.08396946564885496,0.45381619937694706,0.13513513513513514,-0.019077901430842606,-0.08328675237562884
2014-08-01,-0.07022222222222223,-0.07631578947368421,0.22166634596882817,-0.02377179080824089,-0.27350427350427353,0.08178844056706652,-0.02258064516129032,-0.1888111888111888,-0.09238639783328317,0.11061946902654868,-0.01933873986275733,-0.05343511450381679,-0.1319212188777406,0.22342657342657343,-0.12446934963491255,-0.14655172413793102,0.1644925934114526,-0.22235157159487776,-0.088,-0.14766839378238342,0.008442776735459663,-0.020377146073740502,-0.2231139646869984,0.2849228333992877,0.038461538461538464,-0.22169811320754718,-0.015064562410329985
2014-09-01,0.13882702301410543,0.08396946564885496,0.419238683127572,0.15384615384615385,0.013245033112582781,0.15239477503628446,-0.16336633663366337,-0.13714285714285715,-0.1180778849589139,-0.03288201160541586,0.060492905153099324,0.0764367816091954,-0.08454241071428571,0.34687409968308847,-0.06410458339896047,0.10897435897435898,0.2325898953117888,0.07865168539325842,0.20750551876379691,-0.06857142857142857,0.13122923588039867,0.056744704570791525,-0.15542521994134897,0.5387863622145762,0.03470715835140998,0.09038737446197992,0.06148648648648649
2014-10-01,-0.061917443408788284,0.13559322033898305,0.31063213186017025,-0.025991792065663474,-0.16759776536312848,0.07868601986249045,-0.1111111111111111,-0.12727272727272726,-0.14046121593291405,-0.18051575931232092,0.023799582463465554,-0.04996481351161154,-0.0843609865470852,0.24189746611667648,-0.09697081640192094,0.144,0.14776075427224514,0.0036275695284159614,-0.015533980582524271,-0.07552083333333333,0.07048872180451128,-0.011485360628421804,-0.08738738738738738,0.33554313099041533,-0.1256544502617801,0.017118402282453638,-0.062087186261558784
2014-11-01,0.06942889137737962,0.5432098765432098,0.31048297351435566,0.04228855721393035,-0.19753086419753085,0.05949367088607595,0.08433734939759036,-0.3617021276595745,-0.13831041257367388,-0.19626168224299065,0.037940379403794036,-0.013986013986013986,-0.09463931171409662,0.27855352667382743,-0.19971642697994735,0.04807692307692308,0.11815384615384615,-0.06995230524642289,0.4277456647398844,-0.13217391304347825,0.2232746955345061,-0.09854455094071707,-0.2390829694323144,0.26121065375302666,0.3489583333333333,-0.1830708661417323,-0.025380710659898477
2014-12-01,0.12574850299401197,-0.10984848484848485,0.5108958837772397,0.17114093959731544,0.3953488372093023,0.2428842504743833,-0.06611570247933884,-0.38333333333333336,0.048502994011976046,-0.30434782608695654,0.1762114537444934,0.0868824531516184,-0.039174389216512215,0.5459662288930581,0.047510452299505894,0.05154639175257732,0.2276064610866373,-0.02288329519450801,0.00641025641025641,0.005221932114882507,0.18429003021148035,-0.024292481476982875,-0.08050089445438283,0.34618944770132676,-0.1337579617834395,0.19444444444444445,0.2504378283712785
2015-01-01,0.026172300981461286,0.0,-0.018923280035206103,0.07224334600760456,-0.35443037974683544,0.0011494252873563218,0.023255813953488372,-0.2736842105263158,-0.19741890477851412,0.34965034965034963,0.0008130081300813008,-0.0639763779527559,-0.06411657559198543,0.3323235383217207,-0.09388971684053651,-0.13333333333333333,0.0903059343899742,0.08426966292134831,0.01990049751243781,-0.11290322580645161,0.14531754574811626,-0.035092624956308986,-0.15901060070671377,-0.00950779380376431,0.04580152671755725,0.006097560975609756,-0.06618313689936536
2015-02-01,-0.05828571428571429,0.0,-0.021696891191709845,-0.11504424778761062,-0.2638888888888889,0.0737913486005089,0.03409090909090909,-0.25316455696202533,-0.1912568306010929,0.06338028169014084,0.0125,0.03354037267080745,-0.15232606010703995,0.07620237351655215,-0.03651616086849247,-0.04195804195804196,0.06648783291818355,0.07753164556962025,0.16993464052287582,-0.09724770642201835,-0.053156146179401995,-0.005188859214040442,-0.0055309734513274336,0.07936979785969084,-0.05508474576271186,-0.06761565836298933,0.05090137857900318
