date,country,Anmeldungen in Deutschland_x,Suche nach Jobs in Deutschland (Google Trends Index)_x,Anmeldungen in Deutschland_y,Suche nach Jobs in Deutschland (Google Trends Index)_y
2012-12-01,Portugal,108.81894671237144,179.55112219451374,183.2658148956061,467.5810473815463
2013-01-01,Portugal,223.8080398878155,308.22942643391525,188.25179183546274,471.8204488778056
2013-02-01,Portugal,216.8899968837644,415.9600997506235,191.92894982860705,331.92019950124694
2013-03-01,Portugal,228.29541913368647,176.55860349127187,193.61171704580866,299.50124688279305
2013-04-01,Portugal,263.6335306949205,359.1022443890275,199.65721408538482,298.0049875311721
2013-05-01,Portugal,217.63789342474288,149.6259351620948,202.77344967279524,286.284289276808
2013-06-01,Portugal,209.41103147397945,137.6558603491272,206.57525708943595,267.58104738154617
2013-07-01,Portugal,220.44250545341225,206.48379052369083,207.8217513244001,263.5910224438903
2013-08-01,Portugal,232.96977251480212,272.3192019950125,210.3926456840137,258.852867830424
2013-09-01,Portugal,255.0327204736678,209.47630922693273,211.4989093175444,249.8753117206983
2013-10-01,Portugal,207.54129012153317,245.38653366583546,211.7949516983484,246.63341645885293
2013-11-01,Portugal,171.26830788407602,188.52867830423946,212.97912122156433,237.40648379052377
2013-12-01,Portugal,104.51854160174507,188.52867830423946,212.62075412901217,238.1546134663342
2014-01-01,Portugal,211.6547210969149,383.0423940149626,211.60797756310376,244.38902743142148
2014-02-01,Portugal,169.02461826114052,167.58104738154617,207.6191960112184,223.69077306733172
2014-03-01,Portugal,209.59800560922406,122.69326683291773,206.06107821751323,219.20199501246887
2014-04-01,Portugal,155.37550638828296,149.6259351620948,197.0395761919601,201.74563591022448
2014-05-01,Portugal,151.0751012776566,242.39401496259356,191.4926768463696,209.47630922693273
2014-06-01,Portugal,174.8208164537239,248.37905236907739,188.61015892801493,218.70324189526187
2014-07-01,Portugal,201.93206606419443,197.50623441396513,187.0676223122468,217.95511221945142
